# x u(x,t)
7.080078125000000000e-03 9.881542980436400780e-01
7.202148437500000000e-03 9.880972551045532626e-01
7.324218750000000000e-03 9.880394480511105471e-01
7.446289062500000000e-03 9.879808754307841667e-01
7.568359375000000000e-03 9.879215357659486552e-01
7.690429687500000000e-03 9.878614275539263634e-01
7.812500000000000000e-03 9.878005492670324239e-01
7.934570312500000000e-03 9.877388993526217131e-01
8.056640625000000000e-03 9.876764762331344816e-01
8.178710937500000000e-03 9.876132783061438714e-01
8.300781250000000000e-03 9.875493039444032117e-01
8.422851562500000000e-03 9.874845514958949799e-01
8.544921875000000000e-03 9.874190192838778746e-01
8.666992187500000000e-03 9.873527056069366648e-01
8.789062500000000000e-03 9.872856087390313728e-01
8.911132812500000000e-03 9.872177269295475677e-01
9.033203125000000000e-03 9.871490584033464355e-01
9.155273437500000000e-03 9.870796013608158503e-01
9.277343750000000000e-03 9.870093539779216663e-01
9.399414062500000000e-03 9.869383144062598978e-01
9.521484375000000000e-03 9.868664807731087896e-01
9.643554687500000000e-03 9.867938511814819957e-01
9.765625000000000000e-03 9.867204237101814268e-01
9.887695312500000000e-03 9.866461964138518725e-01
1.000976562500000000e-02 9.865711673230344037e-01
1.013183593750000000e-02 9.864953344442221050e-01
1.025390625000000000e-02 9.864186957599145877e-01
1.037597656250000000e-02 9.863412492286744992e-01
1.049804687500000000e-02 9.862629927851835898e-01
1.062011718750000000e-02 9.861839243402987787e-01
1.074218750000000000e-02 9.861040417811104408e-01
1.086425781250000000e-02 9.860233429710002495e-01
1.098632812500000000e-02 9.859418257496979088e-01
1.110839843750000000e-02 9.858594879333419936e-01
1.123046875000000000e-02 9.857763273145372374e-01
1.135253906250000000e-02 9.856923416624161494e-01
1.147460937500000000e-02 9.856075287226981896e-01
1.159667968750000000e-02 9.855218862177502759e-01
1.171875000000000000e-02 9.854354118466482904e-01
1.184082031250000000e-02 9.853481032852396959e-01
1.196289062500000000e-02 9.852599581862045985e-01
1.208496093750000000e-02 9.851709741791189190e-01
1.220703125000000000e-02 9.850811488705176755e-01
1.232910156250000000e-02 9.849904798439593767e-01
1.245117187500000000e-02 9.848989646600886383e-01
1.257324218750000000e-02 9.848066008567029073e-01
1.269531250000000000e-02 9.847133859488155228e-01
1.281738281250000000e-02 9.846193174287246608e-01
1.293945312500000000e-02 9.845243927660762839e-01
1.306152343750000000e-02 9.844286094079326421e-01
1.318359375000000000e-02 9.843319647788395521e-01
1.330566406250000000e-02 9.842344562808942321e-01
1.342773437500000000e-02 9.841360812938129143e-01
1.354980468750000000e-02 9.840368371750006782e-01
1.367187500000000000e-02 9.839367212596199508e-01
1.379394531250000000e-02 9.838357308606612284e-01
1.391601562500000000e-02 9.837338632690127982e-01
1.403808593750000000e-02 9.836311157535320149e-01
1.416015625000000000e-02 9.835274855611164657e-01
1.428222656250000000e-02 9.834229699167764682e-01
1.440429687500000000e-02 9.833175660237073457e-01
1.452636718750000000e-02 9.832112710633618136e-01
1.464843750000000000e-02 9.831040821955245868e-01
1.477050781250000000e-02 9.829959965583858761e-01
1.489257812500000000e-02 9.828870112686158844e-01
1.501464843750000000e-02 9.827771234214399687e-01
1.513671875000000000e-02 9.826663300907150234e-01
1.525878906250000000e-02 9.825546283290050864e-01
1.538085937500000000e-02 9.824420151676575008e-01
1.550292968750000000e-02 9.823284876168814073e-01
1.562500000000000000e-02 9.822140426658247936e-01
1.574707031250000000e-02 9.820986772826532096e-01
1.586914062500000000e-02 9.819823884146283710e-01
1.599121093750000000e-02 9.818651729881875401e-01
1.611328125000000000e-02 9.817470279090239060e-01
1.623535156250000000e-02 9.816279500621674092e-01
1.635742187500000000e-02 9.815079363120642331e-01
1.647949218750000000e-02 9.813869835026602928e-01
1.660156250000000000e-02 9.812650884574827259e-01
1.672363281250000000e-02 9.811422479797220486e-01
1.684570312500000000e-02 9.810184588523163107e-01
1.696777343750000000e-02 9.808937178380343624e-01
1.708984375000000000e-02 9.807680216795604533e-01
1.721191406250000000e-02 9.806413670995794973e-01
1.733398437500000000e-02 9.805137508008617830e-01
1.745605468750000000e-02 9.803851694663500149e-01
1.757812500000000000e-02 9.802556197592446896e-01
1.770019531250000000e-02 9.801250983230934688e-01
1.782226562500000000e-02 9.799936017818760003e-01
1.794433593750000000e-02 9.798611267400949565e-01
1.806640625000000000e-02 9.797276697828629644e-01
1.818847656250000000e-02 9.795932274759939773e-01
1.831054687500000000e-02 9.794577963660910935e-01
1.843261718750000000e-02 9.793213729806393708e-01
1.855468750000000000e-02 9.791839538280950883e-01
1.867675781250000000e-02 9.790455353979793385e-01
1.879882812500000000e-02 9.789061141609687322e-01
1.892089843750000000e-02 9.787656865689899899e-01
1.904296875000000000e-02 9.786242490553117568e-01
1.916503906250000000e-02 9.784817980346396382e-01
1.928710937500000000e-02 9.783383299032116787e-01
1.940917968750000000e-02 9.781938410388917315e-01
1.953125000000000000e-02 9.780483278012664927e-01
1.965332031250000000e-02 9.779017865317427560e-01
