# x u(x,t)
6.103515625000000000e-03 3.851613212121654528e-02
6.225585937500000000e-03 3.899497851063807308e-02
6.347656250000000000e-03 3.947380196031833460e-02
6.469726562500000000e-03 3.995260218857803192e-02
6.591796875000000000e-03 4.043137891375116200e-02
6.713867187500000000e-03 4.091013185418581471e-02
6.835937500000000000e-03 4.138886072824390916e-02
6.958007812500000000e-03 4.186756525430154058e-02
7.080078125000000000e-03 4.234624515074920242e-02
7.202148437500000000e-03 4.282490013599207085e-02
7.324218750000000000e-03 4.330352992844938020e-02
7.446289062500000000e-03 4.378213424655578306e-02
7.568359375000000000e-03 4.426071280876059388e-02
7.690429687500000000e-03 4.473926533352853147e-02
7.812500000000000000e-03 4.521779153933914996e-02
7.934570312500000000e-03 4.569629114468809483e-02
8.056640625000000000e-03 4.617476386808638117e-02
8.178710937500000000e-03 4.665320942806065740e-02
8.300781250000000000e-03 4.713162754315376735e-02
8.422851562500000000e-03 4.761001793192488202e-02
8.544921875000000000e-03 4.808838031294904169e-02
8.666992187500000000e-03 4.856671440481795388e-02
8.789062500000000000e-03 4.904501992614006267e-02
8.911132812500000000e-03 4.952329659554063901e-02
9.033203125000000000e-03 5.000154413166194717e-02
9.155273437500000000e-03 5.047976225316280069e-02
9.277343750000000000e-03 5.095795067872026934e-02
9.399414062500000000e-03 5.143610912702821503e-02
9.521484375000000000e-03 5.191423731679832565e-02
9.643554687500000000e-03 5.239233496676028862e-02
9.765625000000000000e-03 5.287040179566132592e-02
9.887695312500000000e-03 5.334843752226720720e-02
1.000976562500000000e-02 5.382644186536188202e-02
1.013183593750000000e-02 5.430441454374750065e-02
1.025390625000000000e-02 5.478235527624513573e-02
1.037597656250000000e-02 5.526026378169462266e-02
1.049804687500000000e-02 5.573813977895474003e-02
1.062011718750000000e-02 5.621598298690329287e-02
1.074218750000000000e-02 5.669379312443730001e-02
1.086425781250000000e-02 5.717156991047357001e-02
1.098632812500000000e-02 5.764931306394833338e-02
1.110839843750000000e-02 5.812702230381745078e-02
1.123046875000000000e-02 5.860469734905701666e-02
1.135253906250000000e-02 5.908233791866292217e-02
1.147460937500000000e-02 5.955994373165174327e-02
1.159667968750000000e-02 6.003751450706023424e-02
1.171875000000000000e-02 6.051504996394559827e-02
1.184082031250000000e-02 6.099254982138633402e-02
1.196289062500000000e-02 6.147001379848151398e-02
1.208496093750000000e-02 6.194744161435125629e-02
1.220703125000000000e-02 6.242483298813703702e-02
1.232910156250000000e-02 6.290218763900200238e-02
1.245117187500000000e-02 6.337950528613067736e-02
1.257324218750000000e-02 6.385678564872929175e-02
1.269531250000000000e-02 6.433402844602603698e-02
1.281738281250000000e-02 6.481123339727146160e-02
1.293945312500000000e-02 6.528840022173812430e-02
1.306152343750000000e-02 6.576552863872098253e-02
1.318359375000000000e-02 6.624261836753786437e-02
1.330566406250000000e-02 6.671966912752898271e-02
1.342773437500000000e-02 6.719668063805775415e-02
1.354980468750000000e-02 6.767365261851070179e-02
1.367187500000000000e-02 6.815058478829723321e-02
1.379394531250000000e-02 6.862747686685069515e-02
1.391601562500000000e-02 6.910432857362763803e-02
1.403808593750000000e-02 6.958113962810852371e-02
1.416015625000000000e-02 7.005790974979755892e-02
1.428222656250000000e-02 7.053463865822345857e-02
1.440429687500000000e-02 7.101132607293866861e-02
1.452636718750000000e-02 7.148797171352030966e-02
1.464843750000000000e-02 7.196457529957002441e-02
1.477050781250000000e-02 7.244113655071417190e-02
1.489257812500000000e-02 7.291765518660418832e-02
1.501464843750000000e-02 7.339413092691633722e-02
1.513671875000000000e-02 7.387056349135220912e-02
1.525878906250000000e-02 7.434695259963877700e-02
1.538085937500000000e-02 7.482329797152859063e-02
