# x u(x,t)
8.056640625000000000e-03 1.286544109183159756e-01
8.178710937500000000e-03 1.286005840947589407e-01
8.300781250000000000e-03 1.285466816187915140e-01
8.422851562500000000e-03 1.284927035221232750e-01
8.544921875000000000e-03 1.284386498365081009e-01
8.666992187500000000e-03 1.283845205937444167e-01
8.789062500000000000e-03 1.283303158256748899e-01
8.911132812500000000e-03 1.282760355641870964e-01
9.033203125000000000e-03 1.282216798412124104e-01
9.155273437500000000e-03 1.281672486887271145e-01
9.277343750000000000e-03 1.281127421387515120e-01
9.399414062500000000e-03 1.280581602233505367e-01
9.521484375000000000e-03 1.280035029746331710e-01
9.643554687500000000e-03 1.279487704247529445e-01
9.765625000000000000e-03 1.278939626059075740e-01
9.887695312500000000e-03 1.278390795503392963e-01
1.000976562500000000e-02 1.277841212903340351e-01
1.013183593750000000e-02 1.277290878582225675e-01
1.025390625000000000e-02 1.276739792863795797e-01
1.037597656250000000e-02 1.276187956072240559e-01
1.049804687500000000e-02 1.275635368532190284e-01
1.062011718750000000e-02 1.275082030568719382e-01
1.074218750000000000e-02 1.274527942507341360e-01
1.086425781250000000e-02 1.273973104674012979e-01
1.098632812500000000e-02 1.273417517395128984e-01
1.110839843750000000e-02 1.272861180997529873e-01
1.123046875000000000e-02 1.272304095808491353e-01
1.135253906250000000e-02 1.271746262155734331e-01
1.147460937500000000e-02 1.271187680367416306e-01
1.159667968750000000e-02 1.270628350772138315e-01
1.171875000000000000e-02 1.270068273698937156e-01
1.184082031250000000e-02 1.269507449477294825e-01
1.196289062500000000e-02 1.268945878437126584e-01
1.208496093750000000e-02 1.268383560908792895e-01
1.220703125000000000e-02 1.267820497223089149e-01
1.232910156250000000e-02 1.267256687711251495e-01
1.245117187500000000e-02 1.266692132704954343e-01
1.257324218750000000e-02 1.266126832536311753e-01
1.269531250000000000e-02 1.265560787537874377e-01
1.281738281250000000e-02 1.264993998042632239e-01
1.293945312500000000e-02 1.264426464384012516e-01
1.306152343750000000e-02 1.263858186895881475e-01
1.318359375000000000e-02 1.263289165912541423e-01
1.330566406250000000e-02 1.262719401768733485e-01
1.342773437500000000e-02 1.262148894799633436e-01
1.354980468750000000e-02 1.261577645340858922e-01
1.367187500000000000e-02 1.261005653728457521e-01
1.379394531250000000e-02 1.260432920298921178e-01
1.391601562500000000e-02 1.259859445389170385e-01
1.403808593750000000e-02 1.259285229336568890e-01
1.416015625000000000e-02 1.258710272478910930e-01
1.428222656250000000e-02 1.258134575154429835e-01
1.440429687500000000e-02 1.257558137701793033e-01
1.452636718750000000e-02 1.256980960460105101e-01
1.464843750000000000e-02 1.256403043768902217e-01
1.477050781250000000e-02 1.255824387968160205e-01
1.489257812500000000e-02 1.255244993398285380e-01
1.501464843750000000e-02 1.254664860400122595e-01
1.513671875000000000e-02 1.254083989314947745e-01
1.525878906250000000e-02 1.253502380484472489e-01
1.538085937500000000e-02 1.252920034250843140e-01
1.550292968750000000e-02 1.252336950956638162e-01
1.562500000000000000e-02 1.251753130944869841e-01
1.574707031250000000e-02 1.251168574558987057e-01
1.586914062500000000e-02 1.250583282142866404e-01
1.599121093750000000e-02 1.249997254040821765e-01
1.611328125000000000e-02 1.249410490597597373e-01
1.623535156250000000e-02 1.248822992158371975e-01
1.635742187500000000e-02 1.248234759068756194e-01
1.647949218750000000e-02 1.247645791674791699e-01
1.660156250000000000e-02 1.247056090322952171e-01
1.672363281250000000e-02 1.246465655360144836e-01
1.684570312500000000e-02 1.245874487133706854e-01
1.696777343750000000e-02 1.245282585991407398e-01
1.708984375000000000e-02 1.244689952281446271e-01
1.721191406250000000e-02 1.244096586352455291e-01
1.733398437500000000e-02 1.243502488553496210e-01
1.745605468750000000e-02 1.242907659234060991e-01
1.757812500000000000e-02 1.242312098744071808e-01
1.770019531250000000e-02 1.241715807433883684e-01
1.782226562500000000e-02 1.241118785654277412e-01
1.794433593750000000e-02 1.240521033756466635e-01
1.806640625000000000e-02 1.239922552092093261e-01
1.818847656250000000e-02 1.239323341013228441e-01
1.831054687500000000e-02 1.238723400872371733e-01
1.843261718750000000e-02 1.238122732022453876e-01
1.855468750000000000e-02 1.237521334816831520e-01
1.867675781250000000e-02 1.236919209609294024e-01
1.879882812500000000e-02 1.236316356754051937e-01
1.892089843750000000e-02 1.235712776605750879e-01
1.904296875000000000e-02 1.235108469519460989e-01
1.916503906250000000e-02 1.234503435850680675e-01
1.928710937500000000e-02 1.233897675955334394e-01
1.940917968750000000e-02 1.233291190189776676e-01
1.953125000000000000e-02 1.232683978910785738e-01
1.965332031250000000e-02 1.232076042475571398e-01
1.977539062500000000e-02 1.231467381241763137e-01
1.989746093750000000e-02 1.230857995567423979e-01
2.001953125000000000e-02 1.230247885811037167e-01
2.014160156250000000e-02 1.229637052331516711e-01
2.026367187500000000e-02 1.229025495488198783e-01
2.038574218750000000e-02 1.228413215640847544e-01
2.050781250000000000e-02 1.227800213149649877e-01
2.062988281250000000e-02 1.227186488375221762e-01
2.075195312500000000e-02 1.226572041678599817e-01
2.087402343750000000e-02 1.225956873421247262e-01
2.099609375000000000e-02 1.225340983965052255e-01
2.111816406250000000e-02 1.224724373672326783e-01
2.124023437500000000e-02 1.224107042905806242e-01
2.136230468750000000e-02 1.223488992028651801e-01
2.148437500000000000e-02 1.222870221404444013e-01
2.160644531250000000e-02 1.222250731397193368e-01
2.172851562500000000e-02 1.221630522371326966e-01
2.185058593750000000e-02 1.221009594691699340e-01
2.197265625000000000e-02 1.220387948723585664e-01
2.209472656250000000e-02 1.219765584832684935e-01
2.221679687500000000e-02 1.219142503385115955e-01
2.233886718750000000e-02 1.218518704747424131e-01
2.246093750000000000e-02 1.217894189286571754e-01
2.258300781250000000e-02 1.217268957369947030e-01
2.270507812500000000e-02 1.216643009365356576e-01
2.282714843750000000e-02 1.216016345641029311e-01
2.294921875000000000e-02 1.215388966565616458e-01
2.307128906250000000e-02 1.214760872508188483e-01
2.319335937500000000e-02 1.214132063838236353e-01
2.331542968750000000e-02 1.213502540925672918e-01
2.343750000000000000e-02 1.212872304140829444e-01
