# x u(x,t)
0.000000000000000000e+00 -5.812189254732745558e-02
1.220703125000000000e-04 -5.806533538633159436e-02
2.441406250000000000e-04 -5.800874406699492447e-02
3.662109375000000000e-04 -5.795211862260871150e-02
4.882812500000000000e-04 -5.789545908648417727e-02
6.103515625000000000e-04 -5.783876549195273581e-02
7.324218750000000000e-04 -5.778203787236571576e-02
8.544921875000000000e-04 -5.772527626109455468e-02
9.765625000000000000e-04 -5.766848069153061862e-02
1.098632812500000000e-03 -5.761165119708529930e-02
1.220703125000000000e-03 -5.755478781118990306e-02
1.342773437500000000e-03 -5.749789056729570635e-02
1.464843750000000000e-03 -5.744095949887388641e-02
1.586914062500000000e-03 -5.738399463941554202e-02
1.708984375000000000e-03 -5.732699602243158943e-02
1.831054687500000000e-03 -5.726996368145290117e-02
1.953125000000000000e-03 -5.721289765003007011e-02
2.075195312500000000e-03 -5.715579796173365923e-02
2.197265625000000000e-03 -5.709866465015386860e-02
2.319335937500000000e-03 -5.704149774890079905e-02
2.441406250000000000e-03 -5.698429729160421620e-02
2.563476562500000000e-03 -5.692706331191373093e-02
2.685546875000000000e-03 -5.686979584349857036e-02
2.807617187500000000e-03 -5.681249492004779300e-02
2.929687500000000000e-03 -5.675516057526989316e-02
3.051757812500000000e-03 -5.669779284289336307e-02
3.173828125000000000e-03 -5.664039175666605447e-02
3.295898437500000000e-03 -5.658295735035562268e-02
3.417968750000000000e-03 -5.652548965774917278e-02
3.540039062500000000e-03 -5.646798871265353709e-02
3.662109375000000000e-03 -5.641045454889496991e-02
3.784179687500000000e-03 -5.635288720031941812e-02
3.906250000000000000e-03 -5.629528670079218811e-02
4.028320312500000000e-03 -5.623765308419824416e-02
4.150390625000000000e-03 -5.617998638444188231e-02
4.272460937500000000e-03 -5.612228663544702179e-02
4.394531250000000000e-03 -5.606455387115687194e-02
4.516601562500000000e-03 -5.600678812553414043e-02
4.638671875000000000e-03 -5.594898943256094992e-02
4.760742187500000000e-03 -5.589115782623875484e-02
4.882812500000000000e-03 -5.583329334058843157e-02
5.004882812500000000e-03 -5.577539600965014666e-02
5.126953125000000000e-03 -5.571746586748340530e-02
5.249023437500000000e-03 -5.565950294816703059e-02
5.371093750000000000e-03 -5.560150728579910107e-02
5.493164062500000000e-03 -5.554347891449698538e-02
5.615234375000000000e-03 -5.548541786839725209e-02
5.737304687500000000e-03 -5.542732418165575992e-02
5.859375000000000000e-03 -5.536919788844748419e-02
5.981445312500000000e-03 -5.531103902296669039e-02
6.103515625000000000e-03 -5.525284761942669126e-02
6.225585937500000000e-03 -5.519462371205993700e-02
6.347656250000000000e-03 -5.513636733511814714e-02
6.469726562500000000e-03 -5.507807852287201211e-02
6.591796875000000000e-03 -5.501975730961133210e-02
6.713867187500000000e-03 -5.496140372964500309e-02
6.835937500000000000e-03 -5.490301781730085040e-02
6.958007812500000000e-03 -5.484459960692592007e-02
7.080078125000000000e-03 -5.478614913288606253e-02
7.202148437500000000e-03 -5.472766642956621019e-02
7.324218750000000000e-03 -5.466915153137019701e-02
7.446289062500000000e-03 -5.461060447272088336e-02
7.568359375000000000e-03 -5.455202528805996182e-02
7.690429687500000000e-03 -5.449341401184808198e-02
7.812500000000000000e-03 -5.443477067856471174e-02
7.934570312500000000e-03 -5.437609532270824830e-02
8.056640625000000000e-03 -5.431738797879585856e-02
8.178710937500000000e-03 -5.425864868136359709e-02
8.300781250000000000e-03 -5.419987746496624653e-02
8.422851562500000000e-03 -5.414107436417747027e-02
8.544921875000000000e-03 -5.408223941358945852e-02
8.666992187500000000e-03 -5.402337264781344878e-02
8.789062500000000000e-03 -5.396447410147917068e-02
8.911132812500000000e-03 -5.390554380923518601e-02
9.033203125000000000e-03 -5.384658180574859038e-02
9.155273437500000000e-03 -5.378758812570524905e-02
9.277343750000000000e-03 -5.372856280380963745e-02
9.399414062500000000e-03 -5.366950587478480639e-02
9.521484375000000000e-03 -5.361041737337241680e-02
9.643554687500000000e-03 -5.355129733433273975e-02
9.765625000000000000e-03 -5.349214579244454537e-02
9.887695312500000000e-03 -5.343296278250522779e-02
1.000976562500000000e-02 -5.337374833933052759e-02
1.013183593750000000e-02 -5.331450249775484401e-02
1.025390625000000000e-02 -5.325522529263095051e-02
1.037597656250000000e-02 -5.319591675883010573e-02
1.049804687500000000e-02 -5.313657693124200498e-02
1.062011718750000000e-02 -5.307720584477472470e-02
1.074218750000000000e-02 -5.301780353435474324e-02
1.086425781250000000e-02 -5.295837003492698952e-02
1.098632812500000000e-02 -5.289890538145446131e-02
1.110839843750000000e-02 -5.283940960891887750e-02
1.123046875000000000e-02 -5.277988275231996346e-02
1.135253906250000000e-02 -5.272032484667592278e-02
1.147460937500000000e-02 -5.266073592702304185e-02
1.159667968750000000e-02 -5.260111602841602285e-02
1.171875000000000000e-02 -5.254146518592763687e-02
1.184082031250000000e-02 -5.248178343464896672e-02
1.196289062500000000e-02 -5.242207080968935839e-02
1.208496093750000000e-02 -5.236232734617607409e-02
1.220703125000000000e-02 -5.230255307925469471e-02
1.232910156250000000e-02 -5.224274804408889084e-02
1.245117187500000000e-02 -5.218291227586039499e-02
1.257324218750000000e-02 -5.212304580976909185e-02
1.269531250000000000e-02 -5.206314868103279619e-02
1.281738281250000000e-02 -5.200322092488762760e-02
1.293945312500000000e-02 -5.194326257658736512e-02
1.306152343750000000e-02 -5.188327367140400936e-02
1.318359375000000000e-02 -5.182325424462749797e-02
1.330566406250000000e-02 -5.176320433156566397e-02
1.342773437500000000e-02 -5.170312396754447176e-02
1.354980468750000000e-02 -5.164301318790751050e-02
1.367187500000000000e-02 -5.158287202801640353e-02
1.379394531250000000e-02 -5.152270052325075289e-02
1.391601562500000000e-02 -5.146249870900777845e-02
1.403808593750000000e-02 -5.140226662070276897e-02
1.416015625000000000e-02 -5.134200429376867270e-02
1.428222656250000000e-02 -5.128171176365615286e-02
1.440429687500000000e-02 -5.122138906583388607e-02
1.452636718750000000e-02 -5.116103623578815984e-02
1.464843750000000000e-02 -5.110065330902290037e-02
1.477050781250000000e-02 -5.104024032105986680e-02
1.489257812500000000e-02 -5.097979730743855409e-02
1.501464843750000000e-02 -5.091932430371592933e-02
1.513671875000000000e-02 -5.085882134546668154e-02
1.525878906250000000e-02 -5.079828846828321476e-02
1.538085937500000000e-02 -5.073772570777541902e-02
1.550292968750000000e-02 -5.067713309957083689e-02
1.562500000000000000e-02 -5.061651067931449005e-02
1.574707031250000000e-02 -5.055585848266905963e-02
