# x u(x,t)
0.000000000000000000e+00 -8.539737799065728885e-03
1.220703125000000000e-04 -9.141627608894614676e-03
2.441406250000000000e-04 -9.743512040939551408e-03
3.662109375000000000e-04 -1.034539074112692317e-02
4.882812500000000000e-04 -1.094726335538780994e-02
6.103515625000000000e-04 -1.154912952965585042e-02
7.324218750000000000e-04 -1.215098890986857604e-02
8.544921875000000000e-04 -1.275284114196741959e-02
9.765625000000000000e-04 -1.335468587189842481e-02
1.098632812500000000e-03 -1.395652274561147606e-02
1.220703125000000000e-03 -1.455835140906222916e-02
1.342773437500000000e-03 -1.516017150820979376e-02
1.464843750000000000e-03 -1.576198268901917235e-02
1.586914062500000000e-03 -1.636378459746009456e-02
1.708984375000000000e-03 -1.696557687950797991e-02
1.831054687500000000e-03 -1.756735918114430903e-02
1.953125000000000000e-03 -1.816913114835582918e-02
2.075195312500000000e-03 -1.877089242713564365e-02
2.197265625000000000e-03 -1.937264266348315625e-02
2.319335937500000000e-03 -1.997438150340401924e-02
2.441406250000000000e-03 -2.057610859291042135e-02
2.563476562500000000e-03 -2.117782357802276000e-02
2.685546875000000000e-03 -2.177952610476721271e-02
2.807617187500000000e-03 -2.238121581917757244e-02
2.929687500000000000e-03 -2.298289236729508106e-02
3.051757812500000000e-03 -2.358455539516889424e-02
3.173828125000000000e-03 -2.418620454885688290e-02
3.295898437500000000e-03 -2.478783947442372501e-02
3.417968750000000000e-03 -2.538945981794339668e-02
3.540039062500000000e-03 -2.599106522549787107e-02
3.662109375000000000e-03 -2.659265534317857213e-02
3.784179687500000000e-03 -2.719422981708465720e-02
3.906250000000000000e-03 -2.779578829332623319e-02
4.028320312500000000e-03 -2.839733041802189328e-02
4.150390625000000000e-03 -2.899885583729976818e-02
4.272460937500000000e-03 -2.960036419729776200e-02
4.394531250000000000e-03 -3.020185514416378822e-02
4.516601562500000000e-03 -3.080332832405704643e-02
4.638671875000000000e-03 -3.140478338314588863e-02
4.760742187500000000e-03 -3.200621996760971005e-02
4.882812500000000000e-03 -3.260763772363883817e-02
5.004882812500000000e-03 -3.320903629743492819e-02
5.126953125000000000e-03 -3.381041533521022407e-02
5.249023437500000000e-03 -3.441177448318964716e-02
5.371093750000000000e-03 -3.501311338760879077e-02
5.493164062500000000e-03 -3.561443169471527337e-02
5.615234375000000000e-03 -3.621572905076934912e-02
5.737304687500000000e-03 -3.681700510204262422e-02
5.859375000000000000e-03 -3.741825949482070757e-02
5.981445312500000000e-03 -3.801949187540081682e-02
6.103515625000000000e-03 -3.862070189009354088e-02
6.225585937500000000e-03 -3.922188918522215989e-02
6.347656250000000000e-03 -3.982305340712398445e-02
6.469726562500000000e-03 -4.042419420214921066e-02
6.591796875000000000e-03 -4.102531121666287001e-02
6.713867187500000000e-03 -4.162640409704295580e-02
6.835937500000000000e-03 -4.222747248968183875e-02
6.958007812500000000e-03 -4.282851604098664861e-02
7.080078125000000000e-03 -4.342953439737855942e-02
7.202148437500000000e-03 -4.403052720529486430e-02
7.324218750000000000e-03 -4.463149411118638027e-02
7.446289062500000000e-03 -4.523243476151963399e-02
7.568359375000000000e-03 -4.583334880277710466e-02
7.690429687500000000e-03 -4.643423588145621783e-02
7.812500000000000000e-03 -4.703509564407040711e-02
7.934570312500000000e-03 -4.763592773714998146e-02
8.056640625000000000e-03 -4.823673180724066811e-02
8.178710937500000000e-03 -4.883750750090466719e-02
8.300781250000000000e-03 -4.943825446472134566e-02
8.422851562500000000e-03 -5.003897234528645321e-02
8.544921875000000000e-03 -5.063966078921368352e-02
8.666992187500000000e-03 -5.124031944313303666e-02
8.789062500000000000e-03 -5.184094795369257463e-02
8.911132812500000000e-03 -5.244154596755822711e-02
9.033203125000000000e-03 -5.304211313141368733e-02
9.155273437500000000e-03 -5.364264909195996800e-02
9.277343750000000000e-03 -5.424315349591834340e-02
9.399414062500000000e-03 -5.484362599002701871e-02
9.521484375000000000e-03 -5.544406622104354476e-02
9.643554687500000000e-03 -5.604447383574436697e-02
9.765625000000000000e-03 -5.664484848092483232e-02
9.887695312500000000e-03 -5.724518980340070895e-02
1.000976562500000000e-02 -5.784549745000639592e-02
1.013183593750000000e-02 -5.844577106759614449e-02
1.025390625000000000e-02 -5.904601030304465481e-02
1.037597656250000000e-02 -5.964621480324665270e-02
1.049804687500000000e-02 -6.024638421511695902e-02
1.062011718750000000e-02 -6.084651818559190517e-02
1.074218750000000000e-02 -6.144661636162770252e-02
1.086425781250000000e-02 -6.204667839020235054e-02
1.098632812500000000e-02 -6.264670391831479723e-02
1.110839843750000000e-02 -6.324669259298502932e-02
1.123046875000000000e-02 -6.384664406125585556e-02
1.135253906250000000e-02 -6.444655797019084587e-02
1.147460937500000000e-02 -6.504643396687644075e-02
1.159667968750000000e-02 -6.564627169842056353e-02
1.171875000000000000e-02 -6.624607081195436897e-02
1.184082031250000000e-02 -6.684583095463128566e-02
1.196289062500000000e-02 -6.744555177362851484e-02
1.208496093750000000e-02 -6.804523291614521241e-02
1.220703125000000000e-02 -6.864487402940450123e-02
1.232910156250000000e-02 -6.924447476065309637e-02
1.245117187500000000e-02 -6.984403475716095822e-02
1.257324218750000000e-02 -7.044355366622291614e-02
1.269531250000000000e-02 -7.104303113515704482e-02
1.281738281250000000e-02 -7.164246681130649608e-02
1.293945312500000000e-02 -7.224186034203855522e-02
1.306152343750000000e-02 -7.284121137474540431e-02
1.318359375000000000e-02 -7.344051955684402500e-02
1.330566406250000000e-02 -7.403978453577741980e-02
1.342773437500000000e-02 -7.463900595901326596e-02
1.354980468750000000e-02 -7.523818347404487294e-02
1.367187500000000000e-02 -7.583731672839165439e-02
1.379394531250000000e-02 -7.643640536959848963e-02
1.391601562500000000e-02 -7.703544904523783321e-02
1.403808593750000000e-02 -7.763444740290713353e-02
1.416015625000000000e-02 -7.823340009023120600e-02
1.428222656250000000e-02 -7.883230675486185834e-02
1.440429687500000000e-02 -7.943116704447739096e-02
1.452636718750000000e-02 -8.002998060678367942e-02
1.464843750000000000e-02 -8.062874708951445202e-02
1.477050781250000000e-02 -8.122746614043055424e-02
1.489257812500000000e-02 -8.182613740732119778e-02
1.501464843750000000e-02 -8.242476053800366909e-02
1.513671875000000000e-02 -8.302333518032263548e-02
1.525878906250000000e-02 -8.362186098215269869e-02
1.538085937500000000e-02 -8.422033759139672948e-02
1.550292968750000000e-02 -8.481876465598585380e-02
1.562500000000000000e-02 -8.541714182388107646e-02
1.574707031250000000e-02 -8.601546874307246238e-02
1.586914062500000000e-02 -8.661374506157948350e-02
1.599121093750000000e-02 -8.721197042745208738e-02
1.611328125000000000e-02 -8.781014448876947598e-02
1.623535156250000000e-02 -8.840826689364132684e-02
1.635742187500000000e-02 -8.900633729020751561e-02
1.647949218750000000e-02 -8.960435532663828251e-02
1.660156250000000000e-02 -9.020232065113571729e-02
1.672363281250000000e-02 -9.080023291193199675e-02
1.684570312500000000e-02 -9.139809175729068924e-02
1.696777343750000000e-02 -9.199589683550679631e-02
1.708984375000000000e-02 -9.259364779490705799e-02
1.721191406250000000e-02 -9.319134428384953650e-02
1.733398437500000000e-02 -9.378898595072557298e-02
1.745605468750000000e-02 -9.438657244395759482e-02
1.757812500000000000e-02 -9.498410341200076712e-02
1.770019531250000000e-02 -9.558157850334324246e-02
1.782226562500000000e-02 -9.617899736650530051e-02
1.794433593750000000e-02 -9.677635965004162399e-02
1.806640625000000000e-02 -9.737366500253878676e-02
1.818847656250000000e-02 -9.797091307261771020e-02
1.831054687500000000e-02 -9.856810350893271955e-02
1.843261718750000000e-02 -9.916523596017200182e-02
1.855468750000000000e-02 -9.976231007505724502e-02
1.867675781250000000e-02 -1.003593255023463998e-01
1.879882812500000000e-02 -1.009562818908300436e-01
1.892089843750000000e-02 -1.015531788893341142e-01
1.904296875000000000e-02 -1.021500161467195217e-01
1.916503906250000000e-02 -1.027467933118818150e-01
1.928710937500000000e-02 -1.033435100337534301e-01
1.940917968750000000e-02 -1.039401659613003875e-01
1.953125000000000000e-02 -1.045367607435256779e-01
1.965332031250000000e-02 -1.051332940294681106e-01
1.977539062500000000e-02 -1.057297654682022303e-01
1.989746093750000000e-02 -1.063261747088390663e-01
2.001953125000000000e-02 -1.069225214005271318e-01
2.014160156250000000e-02 -1.075188051924507726e-01
2.026367187500000000e-02 -1.081150257338314713e-01
2.038574218750000000e-02 -1.087111826739279030e-01
2.050781250000000000e-02 -1.093072756620360880e-01
2.062988281250000000e-02 -1.099033043474907240e-01
2.075195312500000000e-02 -1.104992683796628961e-01
